date, value,,,,
39821,8742.46,,,,
39822,8599.18,,,,
39825,8473.97,,,,
39826,8448.56,,,,
39827,8200.14,,,,
39828,8212.49,,,,
39829,8281.22,,,,
39833,7949.09,,,,
39834,8228.1,,,,
39835,8122.8,,,,
39836,8077.56,,,,
39839,8116.03,,,,
39840,8174.73,,,,
39841,8375.45,,,,
39842,8149.01,,,,
39843,8000.86,,,,
39846,7936.75,,,,
39847,8078.36,,,,
39848,7956.66,,,,
39849,8063.07,,,,
39850,8280.59,,,,
39853,8270.87,,,,
39854,7888.88,,,,
39855,7939.53,,,,
39856,7932.76,,,,
39857,7850.41,,,,
39861,7552.6,,,,
39862,7555.63,,,,
39863,7465.95,,,,
39864,7365.67,,,,
39867,7114.78,,,,
39868,7350.94,,,,
39869,7270.89,,,,
39870,7182.08,,,,
39871,7062.93,,,,
39874,6763.29,,,,
39875,6726.02,,,,
39876,6875.84,,,,
39877,6594.44,,,,
39878,6626.94,,,,
39881,6547.05,,,,
39882,6926.49,,,,
39883,6930.4,,,,
39884,7170.06,,,,
39885,7223.98,,,,
39888,7216.97,,,,
39889,7395.7,,,,
39890,7486.58,,,,
39891,7400.8,,,,
39892,7278.38,,,,
39895,7775.86,,,,
39896,7659.97,,,,
39897,7749.81,,,,
39898,7924.56,,,,
39899,7776.18,,,,
39902,7522.02,,,,
39903,7608.92,,,,
39904,7761.6,,,,
39905,7978.08,,,,
39906,8017.59,,,,
39909,7975.85,,,,
39910,7789.56,,,,
39911,7837.11,,,,
39912,8083.38,,,,
39916,8057.81,,,,
39917,7920.18,,,,
39918,8029.62,,,,
39919,8125.43,,,,
39920,8131.33,,,,
39923,7841.73,,,,
39924,7969.56,,,,
39925,7886.57,,,,
39926,7957.06,,,,
39927,8076.29,,,,
39930,8025,,,,
39931,8016.95,,,,
39932,8185.73,,,,
39933,8168.12,,,,
39934,8212.41,,,,
39937,8426.74,,,,
39938,8410.65,,,,
39939,8512.28,,,,
39940,8409.85,,,,
39941,8574.65,,,,
39944,8418.77,,,,
39945,8469.11,,,,
39946,8284.89,,,,
39947,8331.32,,,,
39948,8268.64,,,,
39951,8504.08,,,,
39952,8474.85,,,,
39953,8422.04,,,,
39954,8292.13,,,,
39955,8277.32,,,,
39959,8473.49,,,,
39960,8300.02,,,,
39961,8403.8,,,,
39962,8500.33,,,,
39965,8721.44,,,,
39966,8740.87,,,,
39967,8675.24,,,,
39968,8750.24,,,,
39969,8763.13,,,,
39972,8764.49,,,,
39973,8763.06,,,,
39974,8739.02,,,,
39975,8770.92,,,,
39976,8799.26,,,,
39979,8612.13,,,,
39980,8504.67,,,,
39981,8497.18,,,,
39982,8555.6,,,,
39983,8539.73,,,,
39986,8339.01,,,,
39987,8322.91,,,,
39988,8299.86,,,,
39989,8472.4,,,,
39990,8438.39,,,,
39993,8529.38,,,,
39994,8447,,,,
39995,8504.06,,,,
39996,8280.74,,,,
40000,8324.87,,,,
40001,8163.6,,,,
40002,8178.41,,,,
40003,8183.17,,,,
40004,8146.52,,,,
40007,8331.68,,,,
40008,8359.49,,,,
40009,8616.21,,,,
40010,8711.82,,,,
40011,8743.94,,,,
40014,8848.15,,,,
40015,8915.94,,,,
40016,8881.26,,,,
40017,9069.29,,,,
40018,9093.24,,,,
40021,9108.51,,,,
40022,9096.72,,,,
40023,9070.72,,,,
40024,9154.46,,,,
40025,9171.61,,,,
40028,9286.56,,,,
40029,9320.19,,,,
40030,9280.97,,,,
40031,9256.26,,,,
40032,9370.07,,,,
40035,9337.95,,,,
40036,9241.45,,,,
40037,9361.61,,,,
40038,9398.19,,,,
40039,9321.4,,,,
40042,9135.34,,,,
40043,9217.94,,,,
40044,9279.16,,,,
40045,9350.05,,,,
40046,9505.96,,,,
40049,9509.28,,,,
40050,9539.29,,,,
40051,9543.52,,,,
40052,9580.63,,,,
40053,9544.2,,,,
40056,9496.28,,,,
40057,9310.6,,,,
40058,9280.67,,,,
40059,9344.61,,,,
40060,9441.27,,,,
40064,9497.34,,,,
40065,9547.22,,,,
40066,9627.48,,,,
40067,9605.41,,,,
40070,9626.8,,,,
40071,9683.41,,,,
40072,9791.71,,,,
40073,9783.92,,,,
40074,9820.2,,,,
40077,9778.86,,,,
40078,9829.87,,,,
40079,9748.55,,,,
40080,9707.44,,,,
40081,9665.19,,,,
40084,9789.36,,,,
40085,9742.2,,,,
40086,9712.28,,,,
40087,9509.28,,,,
40088,9487.67,,,,
40091,9599.75,,,,
40092,9731.25,,,,
40093,9725.58,,,,
40094,9786.87,,,,
40095,9864.94,,,,
40098,9885.8,,,,
40099,9871.06,,,,
40100,10015.86,,,,
40101,10062.94,,,,
40102,9995.91,,,,
40105,10092.19,,,,
40106,10041.48,,,,
40107,9949.36,,,,
40108,10081.31,,,,
40109,9972.18,,,,
40112,9867.96,,,,
40113,9882.17,,,,
40114,9762.69,,,,
40115,9962.58,,,,
40116,9712.73,,,,
40119,9789.44,,,,
40120,9771.91,,,,
40121,9802.14,,,,
40122,10005.96,,,,
40123,10023.42,,,,
40126,10226.94,,,,
40127,10246.97,,,,
40128,10291.26,,,,
40129,10197.47,,,,
40130,10270.47,,,,
40133,10406.96,,,,
40134,10437.42,,,,
40135,10426.31,,,,
40136,10332.44,,,,
40137,10318.16,,,,
40140,10450.95,,,,
40141,10433.71,,,,
40142,10464.4,,,,
40144,10309.92,,,,
40147,10344.84,,,,
40148,10471.58,,,,
40149,10452.68,,,,
40150,10366.15,,,,
40151,10388.9,,,,
40154,10390.11,,,,
40155,10285.97,,,,
40156,10337.05,,,,
40157,10405.83,,,,
40158,10471.5,,,,
40161,10501.05,,,,
40162,10452,,,,
40163,10441.12,,,,
40164,10308.26,,,,
40165,10328.89,,,,
40168,10414.14,,,,
40169,10464.93,,,,
40170,10466.44,,,,
40171,10520.09,,,,
40175,10547.08,,,,
40176,10545.41,,,,
40177,10548.51,,,,
40178,10428.05,,,,
40182,10583.96,,,,
40183,10572.02,,,,
40184,10573.68,,,,
40185,10606.86,,,,
40186,10618.19,,,,
40189,10663.99,,,,
40190,10627.26,,,,
40191,10680.77,,,,
40192,10710.55,,,,
40193,10609.65,,,,
40197,10725.43,,,,
40198,10603.15,,,,
40199,10389.88,,,,
40200,10172.98,,,,
40203,10196.86,,,,
40204,10194.29,,,,
40205,10236.16,,,,
40206,10120.46,,,,
40207,10067.33,,,,
40210,10185.53,,,,
40211,10296.85,,,,
40212,10270.55,,,,
40213,10002.18,,,,
40214,10012.23,,,,
40217,9908.39,,,,
40218,10058.64,,,,
40219,10038.38,,,,
40220,10144.19,,,,
40221,10099.14,,,,
40225,10268.81,,,,
40226,10309.24,,,,
40227,10392.9,,,,
40228,10402.35,,,,
40231,10383.38,,,,
40232,10282.41,,,,
40233,10374.16,,,,
40234,10321.03,,,,
40235,10325.26,,,,
40238,10403.79,,,,
40239,10405.98,,,,
40240,10396.76,,,,
40241,10444.14,,,,
40242,10566.2,,,,
40245,10552.52,,,,
40246,10564.38,,,,
40247,10567.33,,,,
40248,10611.84,,,,
40249,10624.69,,,,
40252,10642.15,,,,
40253,10685.98,,,,
40254,10733.67,,,,
40255,10779.17,,,,
40256,10741.98,,,,
40259,10785.89,,,,
40260,10888.83,,,,
40261,10836.15,,,,
40262,10841.21,,,,
40263,10850.36,,,,
40266,10895.86,,,,
40267,10907.42,,,,
40268,10856.63,,,,
40269,10927.07,,,,
40273,10973.55,,,,
40274,10969.99,,,,
40275,10897.52,,,,
40276,10927.07,,,,
40277,10997.35,,,,
40280,11005.97,,,,
40281,11019.42,,,,
40282,11123.11,,,,
40283,11144.57,,,,
40284,11018.66,,,,
40287,11092.05,,,,
40288,11117.06,,,,
40289,11124.92,,,,
40290,11134.29,,,,
40291,11204.28,,,,
40294,11205.03,,,,
40295,10991.99,,,,
40296,11045.27,,,,
40297,11167.32,,,,
40298,11008.61,,,,
40301,11151.83,,,,
40302,10926.77,,,,
40303,10866.83,,,,
40304,10520.32,,,,
40305,10380.43,,,,
40308,10785.14,,,,
40309,10748.26,,,,
40310,10896.91,,,,
40311,10782.95,,,,
40312,10620.16,,,,
40315,10625.83,,,,
40316,10510.95,,,,
40317,10444.37,,,,
40318,10068.01,,,,
40319,10193.39,,,,
40322,10066.57,,,,
40323,10043.75,,,,
40324,9974.45,,,,
40325,10258.99,,,,
40326,10136.63,,,,
40330,10024.02,,,,
40331,10249.54,,,,
40332,10255.28,,,,
40333,9931.97,,,,
40336,9816.49,,,,
40337,9939.98,,,,
40338,9899.25,,,,
40339,10172.53,,,,
40340,10211.07,,,,
40343,10190.89,,,,
40344,10404.77,,,,
40345,10409.46,,,,
40346,10434.17,,,,
40347,10450.64,,,,
40350,10442.41,,,,
40351,10293.52,,,,
40352,10298.44,,,,
40353,10152.8,,,,
40354,10143.81,,,,
40357,10138.52,,,,
40358,9870.3,,,,
40359,9774.02,,,,
40360,9732.53,,,,
40361,9686.48,,,,
40365,9743.62,,,,
40366,10018.28,,,,
40367,10138.99,,,,
40368,10198.03,,,,
40371,10216.27,,,,
40372,10363.02,,,,
40373,10366.72,,,,
40374,10359.31,,,,
40375,10097.9,,,,
40378,10154.43,,,,
40379,10229.96,,,,
40380,10120.53,,,,
40381,10322.3,,,,
40382,10424.62,,,,
40385,10525.43,,,,
40386,10537.69,,,,
40387,10497.88,,,,
40388,10467.16,,,,
40389,10465.94,,,,
40392,10674.38,,,,
40393,10636.38,,,,
40394,10680.43,,,,
40395,10674.98,,,,
40396,10653.56,,,,
40399,10698.75,,,,
40400,10644.25,,,,
40401,10378.83,,,,
40402,10319.95,,,,
40403,10303.15,,,,
40406,10302.01,,,,
40407,10405.85,,,,
40408,10415.54,,,,
40409,10271.21,,,,
40410,10213.62,,,,
40413,10174.41,,,,
40414,10040.45,,,,
40415,10060.06,,,,
40416,9985.81,,,,
40417,10150.65,,,,
40420,10009.73,,,,
40421,10014.72,,,,
40422,10269.47,,,,
40423,10320.1,,,,
40424,10447.93,,,,
40428,10340.69,,,,
40429,10387.01,,,,
40430,10415.24,,,,
40431,10462.77,,,,
40434,10544.13,,,,
40435,10526.49,,,,
40436,10572.73,,,,
40437,10594.83,,,,
40438,10607.85,,,,
40441,10753.62,,,,
40442,10761.03,,,,
40443,10739.31,,,,
40444,10662.42,,,,
40445,10860.26,,,,
40448,10812.04,,,,
40449,10858.14,,,,
40450,10835.28,,,,
40451,10788.05,,,,
40452,10829.68,,,,
40455,10751.27,,,,
40456,10944.72,,,,
40457,10967.65,,,,
40458,10948.58,,,,
40459,11006.48,,,,
40462,11010.34,,,,
40463,11020.4,,,,
40464,11096.08,,,,
40465,11094.57,,,,
40466,11062.78,,,,
40469,11143.69,,,,
40470,10978.62,,,,
40471,11107.97,,,,
40472,11146.57,,,,
40473,11132.56,,,,
40476,11164.05,,,,
40477,11169.46,,,,
40478,11126.28,,,,
40479,11113.95,,,,
40480,11118.49,,,,
40483,11124.62,,,,
40484,11188.72,,,,
40485,11215.13,,,,
40486,11434.84,,,,
40487,11444.08,,,,
40490,11406.84,,,,
40491,11346.75,,,,
40492,11357.04,,,,
40493,11283.1,,,,
40494,11192.58,,,,
40497,11201.97,,,,
40498,11023.5,,,,
40499,11007.88,,,,
40500,11181.23,,,,
40501,11203.55,,,,
40504,11178.58,,,,
40505,11036.37,,,,
40506,11187.28,,,,
40508,11091.87,,,,
40511,11052.49,,,,
40512,11006.02,,,,
40513,11255.78,,,,
40514,11362.41,,,,
40515,11382.09,,,,
40518,11362.19,,,,
40519,11359.16,,,,
40520,11372.48,,,,
40521,11370.06,,,,
40522,11410.32,,,,
40525,11428.56,,,,
40526,11476.54,,,,
40527,11457.47,,,,
40528,11499.25,,,,
40529,11491.91,,,,
40532,11478.13,,,,
40533,11533.16,,,,
40534,11559.49,,,,
40535,11573.49,,,,
40539,11555.03,,,,
40540,11575.54,,,,
40541,11585.38,,,,
40542,11569.71,,,,
40543,11577.51,,,,
40546,11670.75,,,,
40547,11691.18,,,,
40548,11722.89,,,,
40549,11697.31,,,,
40550,11674.76,,,,
40553,11637.45,,,,
40554,11671.88,,,,
40555,11755.44,,,,
40556,11731.9,,,,
40557,11787.38,,,,
40561,11837.93,,,,
40562,11825.29,,,,
40563,11822.8,,,,
40564,11871.84,,,,
40567,11980.52,,,,
40568,11977.19,,,,
40569,11985.44,,,,
40570,11989.83,,,,
40571,11823.7,,,,
40574,11891.93,,,,
40575,12040.16,,,,
40576,12041.97,,,,
40577,12062.26,,,,
40578,12092.15,,,,
40581,12161.63,,,,
40582,12233.15,,,,
40583,12239.89,,,,
40584,12229.29,,,,
40585,12273.26,,,,
40588,12268.19,,,,
40589,12226.64,,,,
40590,12288.17,,,,
40591,12318.14,,,,
40592,12391.25,,,,
40596,12212.79,,,,
40597,12105.78,,,,
40598,12068.5,,,,
40599,12130.45,,,,
40602,12226.34,,,,
40603,12058.02,,,,
40604,12066.8,,,,
40605,12258.2,,,,
40606,12169.88,,,,
40609,12090.03,,,,
40610,12214.38,,,,
40611,12213.09,,,,
40612,11984.61,,,,
40613,12044.4,,,,
40616,11993.16,,,,
40617,11855.42,,,,
40618,11613.3,,,,
40619,11774.59,,,,
40620,11858.52,,,,
40623,12036.53,,,,
40624,12018.63,,,,
40625,12086.02,,,,
40626,12170.56,,,,
40627,12220.59,,,,
40630,12197.88,,,,
40631,12279.01,,,,
40632,12350.61,,,,
40633,12319.73,,,,
40634,12376.72,,,,
40637,12400.03,,,,
40638,12393.9,,,,
40639,12426.75,,,,
40640,12409.49,,,,
40641,12380.05,,,,
40644,12381.11,,,,
40645,12263.58,,,,
40646,12270.99,,,,
40647,12285.15,,,,
40648,12341.83,,,,
40651,12201.59,,,,
40652,12266.75,,,,
40653,12453.54,,,,
40654,12505.99,,,,
40658,12479.88,,,,
40659,12595.37,,,,
40660,12690.96,,,,
40661,12763.31,,,,
40662,12810.54,,,,
40665,12807.36,,,,
40666,12807.51,,,,
40667,12723.58,,,,
40668,12584.17,,,,
40669,12638.74,,,,
40672,12684.68,,,,
40673,12760.36,,,,
40674,12630.03,,,,
40675,12695.92,,,,
40676,12595.75,,,,
40679,12548.37,,,,
40680,12479.58,,,,
40681,12560.18,,,,
40682,12605.32,,,,
40683,12512.04,,,,
40686,12381.26,,,,
40687,12356.21,,,,
40688,12394.66,,,,
40689,12402.76,,,,
40690,12441.58,,,,
40694,12569.79,,,,
40695,12290.14,,,,
40696,12248.55,,,,
40697,12151.26,,,,
40700,12089.96,,,,
40701,12070.81,,,,
40702,12048.94,,,,
40703,12124.36,,,,
40704,11951.91,,,,
40707,11952.97,,,,
40708,12076.11,,,,
40709,11897.27,,,,
40710,11961.52,,,,
40711,12004.36,,,,
40714,12080.38,,,,
40715,12190.01,,,,
40716,12109.67,,,,
40717,12050,,,,
40718,11934.58,,,,
40721,12043.56,,,,
40722,12188.69,,,,
40723,12261.42,,,,
40724,12414.34,,,,
40725,12582.77,,,,
40729,12569.87,,,,
40730,12626.02,,,,
40731,12719.49,,,,
40732,12657.2,,,,
40735,12505.76,,,,
40736,12446.88,,,,
40737,12491.61,,,,
40738,12437.12,,,,
40739,12479.73,,,,
40742,12385.16,,,,
40743,12587.42,,,,
40744,12571.91,,,,
40745,12724.41,,,,
40746,12681.16,,,,
40749,12592.8,,,,
40750,12501.3,,,,
40751,12302.55,,,,
40752,12240.11,,,,
40753,12143.24,,,,
40756,12132.49,,,,
40757,11866.62,,,,
40758,11896.44,,,,
40759,11383.68,,,,
40760,11444.61,,,,
40763,10809.85,,,,
40764,11239.77,,,,
40765,10719.94,,,,
40766,11143.31,,,,
40767,11269.02,,,,
40770,11482.9,,,,
40771,11405.93,,,,
40772,11410.21,,,,
40773,10990.58,,,,
40774,10817.65,,,,
40777,10854.65,,,,
40778,11176.76,,,,
40779,11320.71,,,,
40780,11149.82,,,,
40781,11284.54,,,,
40784,11539.25,,,,
40785,11559.95,,,,
40786,11613.53,,,,
40787,11493.57,,,,
40788,11240.26,,,,
40792,11139.3,,,,
40793,11414.86,,,,
40794,11295.81,,,,
40795,10992.13,,,,
40798,11061.12,,,,
40799,11105.85,,,,
40800,11246.73,,,,
40801,11433.18,,,,
40802,11509.09,,,,
40805,11401.01,,,,
40806,11408.66,,,,
40807,11124.84,,,,
40808,10733.83,,,,
40809,10771.48,,,,
40812,11043.86,,,,
40813,11190.69,,,,
40814,11010.9,,,,
40815,11153.98,,,,
40816,10913.38,,,,
40819,10655.3,,,,
40820,10808.71,,,,
40821,10939.95,,,,
40822,11123.33,,,,
40823,11103.12,,,,
40826,11433.18,,,,
40827,11416.3,,,,
40828,11518.85,,,,
40829,11478.13,,,,
40830,11644.49,,,,
40833,11397,,,,
40834,11577.05,,,,
40835,11504.62,,,,
40836,11541.78,,,,
40837,11808.79,,,,
40840,11913.62,,,,
40841,11706.62,,,,
40842,11869.04,,,,
40843,12208.55,,,,
40844,12231.11,,,,
40847,11955.01,,,,
40848,11657.96,,,,
40849,11836.04,,,,
40850,12044.47,,,,
40851,11983.24,,,,
40854,12068.39,,,,
40855,12170.18,,,,
40856,11780.94,,,,
40857,11893.86,,,,
40858,12153.68,,,,
40861,12078.98,,,,
40862,12096.16,,,,
40863,11905.59,,,,
40864,11770.73,,,,
40865,11796.16,,,,
40868,11547.31,,,,
40869,11493.72,,,,
40870,11257.55,,,,
40872,11231.65,,,,
40875,11523.01,,,,
40876,11555.63,,,,
40877,12045.68,,,,
40878,12020.03,,,,
40879,12019.42,,,,
40882,12097.83,,,,
40883,12150.13,,,,
40884,12196.37,,,,
40885,11997.7,,,,
40886,12184.26,,,,
40889,12021.39,,,,
40890,11954.94,,,,
40891,11823.48,,,,
40892,11868.81,,,,
40893,11866.39,,,,
40896,11766.26,,,,
40897,12103.58,,,,
40898,12107.74,,,,
40899,12169.65,,,,
40900,12294,,,,
40904,12291.35,,,,
40905,12151.41,,,,
40906,12287.04,,,,
40907,12217.56,,,,
40911,12397.38,,,,
40912,12418.42,,,,
40913,12415.7,,,,
40914,12359.92,,,,
40917,12392.69,,,,
40918,12462.47,,,,
40919,12449.45,,,,
40920,12471.02,,,,
40921,12422.06,,,,
40925,12482.07,,,,
40926,12578.95,,,,
40927,12623.98,,,,
40928,12720.48,,,,
40931,12708.82,,,,
40932,12675.75,,,,
40933,12758.85,,,,
40934,12734.63,,,,
40935,12660.46,,,,
40938,12653.72,,,,
40939,12632.91,,,,
40940,12716.46,,,,
40941,12705.41,,,,
40942,12862.23,,,,
40945,12845.13,,,,
40946,12878.2,,,,
40947,12883.95,,,,
40948,12890.46,,,,
40949,12801.23,,,,
40952,12874.04,,,,
40953,12878.28,,,,
40954,12780.95,,,,
40955,12904.08,,,,
40956,12949.87,,,,
40960,12965.69,,,,
40961,12938.67,,,,
40962,12984.69,,,,
40963,12982.95,,,,
40966,12981.51,,,,
40967,13005.12,,,,
40968,12952.07,,,,
40969,12980.3,,,,
40970,12977.57,,,,
40973,12962.81,,,,
40974,12759.15,,,,
40975,12837.33,,,,
40976,12907.94,,,,
40977,12922.02,,,,
40980,12959.71,,,,
40981,13177.68,,,,
40982,13194.1,,,,
40983,13252.76,,,,
40984,13232.62,,,,
40987,13239.13,,,,
40988,13170.19,,,,
40989,13124.62,,,,
40990,13046.14,,,,
40991,13080.73,,,,
40994,13241.63,,,,
40995,13197.73,,,,
40996,13126.21,,,,
40997,13145.82,,,,
40998,13212.04,,,,
41001,13264.49,,,,
41002,13199.55,,,,
41003,13074.75,,,,
41004,13060.14,,,,
41008,12929.59,,,,
41009,12715.93,,,,
41010,12805.39,,,,
41011,12986.58,,,,
41012,12849.59,,,,
41015,12921.41,,,,
41016,13115.54,,,,
41017,13032.75,,,,
41018,12964.1,,,,
41019,13029.26,,,,
41022,12927.17,,,,
41023,13001.56,,,,
41024,13090.72,,,,
41025,13204.62,,,,
41026,13228.31,,,,
41029,13213.63,,,,
41030,13279.32,,,,
41031,13268.57,,,,
41032,13206.59,,,,
41033,13038.27,,,,
41036,13008.53,,,,
41037,12932.09,,,,
41038,12835.06,,,,
41039,12855.04,,,,
41040,12820.6,,,,
41043,12695.35,,,,
41044,12632,,,,
41045,12598.55,,,,
41046,12442.49,,,,
41047,12369.38,,,,
41050,12504.48,,,,
41051,12502.81,,,,
41052,12496.15,,,,
41053,12529.75,,,,
41054,12454.83,,,,
41058,12580.69,,,,
41059,12419.86,,,,
41060,12393.45,,,,
41061,12118.57,,,,
41064,12101.46,,,,
41065,12127.95,,,,
41066,12414.79,,,,
41067,12460.96,,,,
41068,12554.2,,,,
41071,12411.23,,,,
41072,12573.8,,,,
41073,12496.38,,,,
41074,12651.91,,,,
41075,12767.17,,,,
41078,12741.82,,,,
41079,12837.33,,,,
41080,12824.39,,,,
41081,12573.57,,,,
41082,12640.78,,,,
41085,12502.66,,,,
41086,12534.67,,,,
41087,12627.01,,,,
41088,12602.26,,,,
41089,12880.09,,,,
41092,12871.39,,,,
41093,12943.66,,,,
41095,12896.67,,,,
41096,12772.47,,,,
41099,12736.29,,,,
41100,12653.12,,,,
41101,12604.53,,,,
41102,12573.27,,,,
41103,12777.09,,,,
41106,12727.21,,,,
41107,12805.54,,,,
41108,12908.7,,,,
41109,12943.36,,,,
41110,12822.57,,,,
41113,12721.46,,,,
41114,12617.32,,,,
41115,12676.05,,,,
41116,12887.93,,,,
41117,13075.66,,,,
41120,13073.01,,,,
41121,13008.68,,,,
41122,12976.13,,,,
41123,12878.88,,,,
41124,13096.17,,,,
41127,13117.51,,,,
41128,13168.6,,,,
41129,13175.64,,,,
41130,13165.19,,,,
41131,13207.95,,,,
41134,13169.43,,,,
41135,13172.14,,,,
41136,13164.78,,,,
41137,13250.11,,,,
41138,13275.2,,,,
41141,13271.64,,,,
41142,13203.58,,,,
41143,13172.76,,,,
41144,13057.46,,,,
41145,13157.97,,,,
41148,13124.67,,,,
41149,13102.99,,,,
41150,13107.48,,,,
41151,13000.71,,,,
41152,13090.84,,,,
41156,13035.94,,,,
41157,13047.48,,,,
41158,13292,,,,
41159,13306.64,,,,
41162,13254.29,,,,
41163,13323.36,,,,
41164,13333.35,,,,
41165,13539.86,,,,
41166,13593.37,,,,
41169,13553.1,,,,
41170,13564.64,,,,
41171,13577.96,,,,
41172,13596.93,,,,
41173,13579.47,,,,
41176,13558.92,,,,
41177,13457.55,,,,
41178,13413.51,,,,
41179,13485.97,,,,
41180,13437.13,,,,
41183,13515.11,,,,
41184,13482.36,,,,
41185,13494.61,,,,
41186,13575.36,,,,
41187,13610.15,,,,
41190,13583.65,,,,
41191,13473.53,,,,
41192,13344.97,,,,
41193,13326.39,,,,
41194,13328.85,,,,
41197,13424.23,,,,
41198,13551.78,,,,
41199,13557,,,,
41200,13548.94,,,,
41201,13343.51,,,,
41204,13345.89,,,,
41205,13102.53,,,,
41206,13077.34,,,,
41207,13103.68,,,,
41208,13107.21,,,,
41211,13107.21,,,,
41212,13107.21,,,,
41213,13096.46,,,,
41214,13232.62,,,,
41215,13093.16,,,,
41218,13112.44,,,,
41219,13245.68,,,,
41220,12932.73,,,,
41221,12811.32,,,,
41222,12815.39,,,,
41225,12815.08,,,,
41226,12756.18,,,,
41227,12570.95,,,,
41228,12542.38,,,,
41229,12588.31,,,,
41232,12795.96,,,,
41233,12788.51,,,,
41234,12836.89,,,,
41236,13009.53,,,,
41239,12967.37,,,,
41240,12878.13,,,,
41241,12985.11,,,,
41242,13021.82,,,,
41243,13025.58,,,,
41246,12965.6,,,,
41247,12951.78,,,,
41248,13034.49,,,,
41249,13074.04,,,,
41250,13155.13,,,,
41253,13169.88,,,,
41254,13248.44,,,,
41255,13245.45,,,,
41256,13170.72,,,,
41257,13135.01,,,,
41260,13235.39,,,,
41261,13350.96,,,,
41262,13251.97,,,,
41263,13311.72,,,,
41264,13190.84,,,,
41267,13138.93,,,,
41269,13114.59,,,,
41270,13096.31,,,,
41271,12938.11,,,,
41274,13104.14,,,,
41276,13412.55,,,,
41277,13391.36,,,,
41278,13435.21,,,,
41281,13384.29,,,,
41282,13328.85,,,,
41283,13390.51,,,,
41284,13471.22,,,,
41285,13488.43,,,,
41288,13507.32,,,,
41289,13534.89,,,,
41290,13511.23,,,,
41291,13596.02,,,,
41292,13649.7,,,,
41296,13712.21,,,,
41297,13779.33,,,,
41298,13825.33,,,,
41299,13895.98,,,,
41302,13881.93,,,,
41303,13954.42,,,,
41304,13910.42,,,,
41305,13860.58,,,,
41306,14009.79,,,,
41309,13880.08,,,,
41310,13979.3,,,,
41311,13986.52,,,,
41312,13944.05,,,,
41313,13992.97,,,,
41316,13971.24,,,,
41317,14018.7,,,,
41318,13982.91,,,,
41319,13973.39,,,,
41320,13981.76,,,,
41324,14035.67,,,,
41325,13927.54,,,,
41326,13880.62,,,,
41327,14000.57,,,,
41330,13784.17,,,,
41331,13900.13,,,,
41332,14075.37,,,,
41333,14054.49,,,,
41334,14089.66,,,,
41337,14127.82,,,,
41338,14253.77,,,,
41339,14296.24,,,,
41340,14329.49,,,,
41341,14397.07,,,,
41344,14447.29,,,,
41345,14450.06,,,,
41346,14455.28,,,,
41347,14539.14,,,,
41348,14514.11,,,,
41351,14452.06,,,,
41352,14455.82,,,,
41353,14511.73,,,,
41354,14421.49,,,,
41355,14512.03,,,,
41358,14447.75,,,,
41359,14559.65,,,,
41360,14526.16,,,,
41361,14578.54,,,,
41365,14572.85,,,,
41366,14662.01,,,,
41367,14550.35,,,,
41368,14606.11,,,,
41369,14565.25,,,,
41372,14613.48,,,,
41373,14673.46,,,,
41374,14802.24,,,,
41375,14865.14,,,,
41376,14865.06,,,,
41379,14599.2,,,,
41380,14756.78,,,,
41381,14618.59,,,,
41382,14537.14,,,,
41383,14547.51,,,,
41386,14567.17,,,,
41387,14719.46,,,,
41388,14676.3,,,,
41389,14700.8,,,,
41390,14712.55,,,,
41393,14818.75,,,,
41394,14839.8,,,,
41395,14700.95,,,,
41396,14831.58,,,,
41397,14973.96,,,,
41400,14968.89,,,,
41401,15056.2,,,,
41402,15105.12,,,,
41403,15082.62,,,,
41404,15118.49,,,,
41407,15091.68,,,,
41408,15215.25,,,,
41409,15275.69,,,,
